id,Created At,Tweet,Location
1.65334E+18,2023-05-02 10:25:04+00:00,"b'Witches and wizards to protect Tinubu, president select. The same witches and wizards cannot protect their towns an\xe2\x80\xa6 https://t.co/ou8U7VPkDJ'",b''
1.65334E+18,2023-05-02 10:11:48+00:00,"b'5/. by B/Haram, Bandits, Herdsmen, &amp; ISWAP. And all these are Muslim adherents. These are pepl who hv declared a re\xe2\x80\xa6 https://t.co/yoA48IVfVS'",b'Lagos'
1.65334E+18,2023-05-02 10:02:27+00:00,b'@seunonigbinde The criminal didn\xe2\x80\x99t achieve anything except to use herdsmen crisis as a means of gathering sympathy\xe2\x80\xa6 https://t.co/BXLLOLFsNY',b''
1.65334E+18,2023-05-02 10:00:02+00:00,b'@Ridwansaidudgw @Tutsy22 It\xe2\x80\x99s time for a Human to rule Nigeria till 2023 before Cows will see Presidency again. Sit\xe2\x80\xa6 https://t.co/8srMp3z9g3',b'A better place '
1.65334E+18,2023-05-02 09:58:39+00:00,"b'@YeleSowore Terrorist sponsors in the north are walking freely,herdsmen killers are walking freely with their spons\xe2\x80\xa6 https://t.co/KTc33zqYAi'","b'California, USA'"
1.65333E+18,2023-05-02 09:45:24+00:00,b'@KabirMisali @Shehusky Then keep dining with your Boko haram and fulani herdsmen. Very soon they will come knocking\xe2\x80\xa6 https://t.co/9YBcPfIPwb',b''
1.65333E+18,2023-05-02 09:41:33+00:00,b'@codshalom77 @PIDOMNIGERIA @abikedabiri @nidcom_gov This also explains why the people from southern Kaduna are stil\xe2\x80\xa6 https://t.co/guyf06LnX3',b'Somewhere beautiful '
1.65333E+18,2023-05-02 09:27:26+00:00,b'@jassjegs @adeferagamo \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Fulani herdsmen dey learn be that',b'Nigeria'
1.65333E+18,2023-05-02 09:19:31+00:00,b'@LEzekwesir38120 @ChinasaNworu You are a compound f.o.o.l if I should say. Is Chinasa holding Nnamdi Kanu?  Why not\xe2\x80\xa6 https://t.co/kGkZHHLGEe',"b'Lagos, France'"
1.65333E+18,2023-05-02 09:13:34+00:00,"b'Considering the rice in various secessionist like Sunday Ighoho of Yoruba Nation, Nnamdi Kanu of IPOB shutting down\xe2\x80\xa6 https://t.co/apUWg1Q0nd'",b'Nigeria'
1.65332E+18,2023-05-02 08:59:14+00:00,b'@Ridwansaidudgw @Tutsy22 Yes Bokoharam and The Herdsmen are doing Nigeria Proud.\n\nRemember the Islamic Bomber from sokoto is still in Jail.',b'A better place '
1.65332E+18,2023-05-02 08:57:31+00:00,"b'@eonsintelligenc Same narrative in Benue state suspected ""herdsmen""  may be if they have a new C- Police, the so-ca\xe2\x80\xa6 https://t.co/j8DhRdTcoH'",b''
1.65332E+18,2023-05-02 08:54:27+00:00,"b'@Waspapping_ I put it to you therefore that all the northern people evacuated from Sudan are Islamic terrorists, Bo\xe2\x80\xa6 https://t.co/WYCKxBBrpA'",b''
1.65332E+18,2023-05-02 08:28:44+00:00,"b'@gimbakakanda This is cheap blackmail. I have not heard anybody beating any ""drums of war"" in Nigeria except the fa\xe2\x80\xa6 https://t.co/TlDbvufAjl'",b'Lagos/Abuja'
1.65331E+18,2023-05-02 08:21:16+00:00,"b'@ARISEtv Who will watch ""it is better to give your ancestral land than to die""? God forbid.\n\nI hope his videos are\xe2\x80\xa6 https://t.co/iMmNqf4XwU'",b'Nigeria'
1.65331E+18,2023-05-02 08:18:22+00:00,b'@MrOdanz The last election? Lol in Fulani herdsmen',b'Nigeria'
1.65331E+18,2023-05-02 08:16:11+00:00,"b'@Waspapping_ Wtf!! And bokoharam, herdsmen and isis keep killing your people in the north. You just a unhappy baboon.'","b'Lagos, Nigeria'"
1.65331E+18,2023-05-02 08:05:09+00:00,"b'@adewale_balo @Olusola23_ @Nooooo_cap @Sirbabagee Niger Delta and NDDC is still a problem today, but APC added oil\xe2\x80\xa6 https://t.co/UzBkeLDpmV'",b''
1.65331E+18,2023-05-02 07:57:14+00:00,"b'Before blaming the Minister, westerners how much do you pay your herdsmen and do you pay them in time, those guys a\xe2\x80\xa6 https://t.co/hNC6edEAOr'","b'Kiruhura, Uganda'"
